Category: All categories

Month,ben carson: (United States)
2004-01,2
2004-02,3
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,2
2004-11,2
2004-12,1
2005-01,1
2005-02,3
2005-03,1
2005-04,1
2005-05,1
2005-06,<1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,3
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,2
2007-03,1
2007-04,<1
2007-05,1
2007-06,1
2007-07,<1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,2
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,3
2009-02,16
2009-03,2
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,2
2009-11,1
2009-12,1
2010-01,2
2010-02,3
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,3
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,1
2012-04,1
2012-05,2
2012-06,2
2012-07,1
2012-08,2
2012-09,2
2012-10,2
2012-11,1
2012-12,1
2013-01,3
2013-02,21
2013-03,13
2013-04,7
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,7
2013-11,3
2013-12,3
2014-01,5
2014-02,5
2014-03,5
2014-04,4
2014-05,7
2014-06,6
2014-07,6
2014-08,8
2014-09,7
2014-10,6
2014-11,13
2014-12,7
2015-01,7
2015-02,10
2015-03,12
2015-04,7
2015-05,25
2015-06,11
2015-07,10
2015-08,49
2015-09,72
2015-10,78
2015-11,100
2015-12,29
2016-01,25
2016-02,49
2016-03,46
2016-04,11
2016-05,6
2016-06,4
2016-07,8
2016-08,4
2016-09,5
2016-10,8
2016-11,23
2016-12,13
2017-01,11
2017-02,7
2017-03,18
2017-04,4
2017-05,4
2017-06,2
2017-07,2
2017-08,4
2017-09,3
2017-10,4
2017-11,3
2017-12,3
2018-01,3
2018-02,6
2018-03,8
2018-04,3
2018-05,2
2018-06,2
2018-07,2
