Category: All categories

Month,chris christie: (United States)
2004-01,<1
2004-02,0
2004-03,<1
2004-04,<1
2004-05,1
2004-06,1
2004-07,<1
2004-08,1
2004-09,<1
2004-10,1
2004-11,1
2004-12,<1
2005-01,<1
2005-02,1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,1
2007-10,<1
2007-11,<1
2007-12,1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,1
2008-12,<1
2009-01,1
2009-02,1
2009-03,1
2009-04,2
2009-05,3
2009-06,3
2009-07,3
2009-08,2
2009-09,4
2009-10,11
2009-11,22
2009-12,2
2010-01,5
2010-02,5
2010-03,8
2010-04,6
2010-05,11
2010-06,7
2010-07,5
2010-08,4
2010-09,10
2010-10,8
2010-11,9
2010-12,7
2011-01,8
2011-02,15
2011-03,8
2011-04,6
2011-05,8
2011-06,17
2011-07,9
2011-08,12
2011-09,34
2011-10,32
2011-11,5
2011-12,7
2012-01,14
2012-02,17
2012-03,7
2012-04,8
2012-05,6
2012-06,4
2012-07,9
2012-08,36
2012-09,11
2012-10,25
2012-11,61
2012-12,12
2013-01,16
2013-02,18
2013-03,7
2013-04,5
2013-05,21
2013-06,14
2013-07,10
2013-08,12
2013-09,9
2013-10,12
2013-11,38
2013-12,9
2014-01,100
2014-02,38
2014-03,19
2014-04,14
2014-05,10
2014-06,16
2014-07,7
2014-08,7
2014-09,7
2014-10,13
2014-11,9
2014-12,8
2015-01,25
2015-02,12
2015-03,8
2015-04,13
2015-05,12
2015-06,28
2015-07,20
2015-08,27
2015-09,22
2015-10,16
2015-11,21
2015-12,17
2016-01,25
2016-02,69
2016-03,46
2016-04,12
2016-05,10
2016-06,7
2016-07,27
2016-08,9
2016-09,12
2016-10,17
2016-11,45
2016-12,12
2017-01,9
2017-02,9
2017-03,5
2017-04,4
2017-05,5
2017-06,4
2017-07,56
2017-08,10
2017-09,5
2017-10,4
2017-11,10
2017-12,4
2018-01,7
2018-02,3
2018-03,3
2018-04,3
2018-05,3
2018-06,3
2018-07,2
