Category: All categories

Month,donald trump: (United States)
2004-01,3
2004-02,2
2004-03,2
2004-04,4
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,2
2004-10,1
2004-11,1
2004-12,2
2005-01,2
2005-02,1
2005-03,1
2005-04,1
2005-05,2
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,2
2007-01,2
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,<1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,<1
2008-06,1
2008-07,1
2008-08,<1
2008-09,1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,<1
2009-08,<1
2009-09,1
2009-10,1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,1
2010-04,1
2010-05,1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,5
2011-04,8
2011-05,5
2011-06,2
2011-07,2
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,2
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,7
2012-11,3
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,12
2015-07,22
2015-08,29
2015-09,22
2015-10,15
2015-11,15
2015-12,25
2016-01,23
2016-02,37
2016-03,58
2016-04,27
2016-05,31
2016-06,28
2016-07,44
2016-08,33
2016-09,33
2016-10,66
2016-11,100
2016-12,25
2017-01,60
2017-02,39
2017-03,24
2017-04,18
2017-05,22
2017-06,21
2017-07,21
2017-08,21
2017-09,18
2017-10,20
2017-11,17
2017-12,17
2018-01,20
2018-02,16
2018-03,18
2018-04,16
2018-05,14
2018-06,16
2018-07,16
