Category: All categories

Month,hillary clinton: (United States)
2004-01,3
2004-02,2
2004-03,2
2004-04,2
2004-05,1
2004-06,2
2004-07,2
2004-08,1
2004-09,1
2004-10,2
2004-11,3
2004-12,1
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,3
2006-03,2
2006-04,2
2006-05,2
2006-06,1
2006-07,1
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,9
2007-02,6
2007-03,5
2007-04,4
2007-05,4
2007-06,7
2007-07,5
2007-08,5
2007-09,6
2007-10,8
2007-11,9
2007-12,8
2008-01,23
2008-02,28
2008-03,19
2008-04,13
2008-05,12
2008-06,10
2008-07,2
2008-08,6
2008-09,5
2008-10,3
2008-11,5
2008-12,2
2009-01,3
2009-02,2
2009-03,2
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,2
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,2
2012-02,1
2012-03,1
2012-04,3
2012-05,2
2012-06,1
2012-07,2
2012-08,2
2012-09,3
2012-10,3
2012-11,6
2012-12,7
2013-01,7
2013-02,3
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,1
2014-01,2
2014-02,2
2014-03,2
2014-04,3
2014-05,3
2014-06,5
2014-07,3
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,6
2015-04,16
2015-05,5
2015-06,6
2015-07,7
2015-08,11
2015-09,10
2015-10,16
2015-11,8
2015-12,9
2016-01,15
2016-02,29
2016-03,33
2016-04,25
2016-05,26
2016-06,36
2016-07,58
2016-08,36
2016-09,66
2016-10,77
2016-11,100
2016-12,13
2017-01,12
2017-02,7
2017-03,5
2017-04,4
2017-05,6
2017-06,4
2017-07,4
2017-08,4
2017-09,7
2017-10,7
2017-11,5
2017-12,4
2018-01,4
2018-02,3
2018-03,4
2018-04,4
2018-05,3
2018-06,3
2018-07,4
