Category: All categories

Month,ted cruz: (United States)
2004-01,<1
2004-02,0
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,0
2004-08,<1
2004-09,0
2004-10,0
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,0
2005-03,<1
2005-04,<1
2005-05,0
2005-06,<1
2005-07,<1
2005-08,0
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,0
2006-10,<1
2006-11,<1
2006-12,0
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,0
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,1
2012-06,<1
2012-07,2
2012-08,2
2012-09,<1
2012-10,1
2012-11,1
2012-12,<1
2013-01,1
2013-02,2
2013-03,2
2013-04,1
2013-05,3
2013-06,2
2013-07,2
2013-08,4
2013-09,14
2013-10,19
2013-11,4
2013-12,3
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,1
2014-06,2
2014-07,2
2014-08,1
2014-09,2
2014-10,1
2014-11,4
2014-12,2
2015-01,3
2015-02,2
2015-03,25
2015-04,9
2015-05,4
2015-06,5
2015-07,6
2015-08,11
2015-09,10
2015-10,8
2015-11,12
2015-12,26
2016-01,37
2016-02,78
2016-03,100
2016-04,60
2016-05,47
2016-06,6
2016-07,24
2016-08,4
2016-09,6
2016-10,5
2016-11,7
2016-12,2
2017-01,5
2017-02,6
2017-03,3
2017-04,2
2017-05,3
2017-06,2
2017-07,2
2017-08,3
2017-09,16
2017-10,3
2017-11,2
2017-12,3
2018-01,2
2018-02,3
2018-03,4
2018-04,3
2018-05,2
2018-06,4
2018-07,2
