id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
1,Mike Huckabee,None Shall Pass,Aesop Rock,neutral,,2011,"Wither by the watering hole, Border patrol / What are we to Heart Huckabee",http://genius.com/Aesop-rock-none-shall-pass-lyrics,329759,8/28/07,FALSE,2007,"['Wither', 'by', 'the', 'watering', 'hole', 'Border', 'patrol', '/', 'What', 'are', 'we', 'to', 'Heart', 'Huckabee']"
2,Mike Huckabee,Wellstone,Soul Khan,negative,,2012,Might find the door but never touch the key / They get tricked by slick Mike Huckabee,http://genius.com/Soul-khan-wellstone-lyrics,5847,3/12/12,TRUE,2012,"['Might', 'find', 'the', 'door', 'but', 'never', 'touch', 'the', 'key', '/', 'They', 'get', 'tricked', 'by', 'slick', 'Mike', 'Huckabee']"
3,Jeb Bush,Awe,Dez & Nobs,neutral,,2006,I heard Jeb Bush looking for a (inaudible),http://genius.com/Dez-and-nobs-awe-lyrics,133,5/15/06,TRUE,2006,"['I', 'heard', 'Jeb', 'Bush', 'looking', 'for', 'a', '(inaudible)']"
4,Jeb Bush,The Truth,Diabolic,negative,political,2006,What you heard before ain't as big of a lesson / As George and Jeb Bush rigging elections,http://genius.com/Diabolic-the-truth-lyrics,2679,,,2006,"['What', 'you', 'heard', 'before', ""ain't"", 'as', 'big', 'of', 'a', 'lesson', '/', 'As', 'George', 'and', 'Jeb', 'Bush', 'rigging', 'elections']"
5,Jeb Bush,Money Man,Gorilla Zoe,negative,personal,2007,I'm comin back from Florida / Wit Jeb Bush and his daughter,http://genius.com/Gorilla-zoe-money-man-lyrics,816,,,2007,"[""I'm"", 'comin', 'back', 'from', 'Florida', '/', 'Wit', 'Jeb', 'Bush', 'and', 'his', 'daughter']"
6,Jeb Bush,Hidden Agenda,K-Rino,negative,political,2012,The Rockefeller's and the Bush family in the same box G / Henry Ford all of them supported the Nazis,http://genius.com/K-rino-hidden-agenda-lyrics,7737,8/28/12,TRUE,2012,"['The', ""Rockefeller's"", 'and', 'the', 'Bush', 'family', 'in', 'the', 'same', 'box', 'G', '/', 'Henry', 'Ford', 'all', 'of', 'them', 'supported', 'the', 'Nazis']"
7,Jeb Bush,Bricks and Marijuana,Kase,neutral,,2001,When Jeb Bush pushing life / If I tout my weapon,http://genius.com/Trick-daddy-bricks-and-marijuana-lyrics,442,,,2001,"['When', 'Jeb', 'Bush', 'pushing', 'life', '/', 'If', 'I', 'tout', 'my', 'weapon']"
8,Jeb Bush,Bush Song,Macklemore,negative,political,2005,"Way to go Jeb, really great strategy",http://genius.com/Macklemore-bush-song-lyrics,9265,10/10/05,TRUE,2005,"['Way', 'to', 'go', 'Jeb', 'really', 'great', 'strategy']"
9,Jeb Bush,Shoot Me in the Head,R.A. The Rugged Man,negative,political,2013,"Obama nation, the Bushes, the Clintons or '80s Reaganomics / It don't matter, the government always be taking your profits",http://genius.com/Ra-the-rugged-man-shoot-me-in-the-head-lyrics,49313,4/30/13,TRUE,2013,"['Obama', 'nation', 'the', 'Bushes', 'the', 'Clintons', 'or', ""'80s"", 'Reaganomics', '/', 'It', ""don't"", 'matter', 'the', 'government', 'always', 'be', 'taking', 'your', 'profits']"
10,Jeb Bush,Chamber of Fear,RZA,neutral,personal,2005,Bobby got Bush like George and Jeb,http://genius.com/Rza-chamber-of-fear-lyrics,785,,,2005,"['Bobby', 'got', 'Bush', 'like', 'George', 'and', 'Jeb']"
