,Poll,Sample,Trump,Cruz,Kasich,Spread,newDate
0,RCP Average,,46.5,27,18,Trump +19.5,2016-05-01
1,CNN/ORC,406 LV,49,25,19,Trump +24,2016-05-01
2,IBD/TIPP,397 RV,48,29,16,Trump +19,2016-04-28
3,USA Today/Suffolk,292 LV,45,29,17,Trump +16,2016-04-24
4,Pew Research,740 RV,44,25,20,Trump +19,2016-04-19
5,FOX News,419 RV,45,27,25,Trump +18,2016-04-13
6,NBC News/Wall St. Jrnl,310 LV,40,35,24,Trump +5,2016-04-14
7,CBS News,399 LV,42,29,18,Trump +13,2016-04-12
8,The Atlantic/PRRI,676 RV,37,31,23,Trump +6,2016-04-03
9,IBD/TIPP,388 RV,38,31,19,Trump +7,2016-04-02
10,McClatchy/Marist,444 RV,40,35,20,Trump +5,2016-03-31
11,Pew Research,834 RV,41,32,20,Trump +9,2016-03-27
12,PPP (D),505 LV,42,32,22,Trump +10,2016-03-26
13,FOX News,388 LV,41,38,17,Trump +3,2016-03-22
14,Bloomberg,366 LV,40,31,25,Trump +9,2016-03-22
15,Monmouth,353 RV,41,29,18,Trump +12,2016-03-20
16,CNN/ORC,397 RV,47,31,17,Trump +16,2016-03-20
17,CBS News/NY Times,362 LV,46,26,20,Trump +20,2016-03-20
18,Quinnipiac,652 RV,43,29,16,Trump +14,2016-03-21
19,Rasmussen Reports,719 LV,43,28,21,Trump +15,2016-03-17
20,NBC News/Wall St. Jrnl,397 LV,30,27,22,Trump +3,2016-03-06
21,ABC News/Wash Post,RV,34,25,13,Trump +9,2016-03-06
22,CNN/ORC,427 RV,49,15,6,Trump +33,2016-02-27
23,IBD/TIPP,400 RV,31,20,7,Trump +11,2016-02-24
24,Rasmussen Reports,697 LV,36,17,12,Trump +15,2016-02-22
25,FOX News,404 LV,36,19,8,Trump +17,2016-02-17
26,NBC News/Wall St. Jrnl,400 LV,26,28,11,Cruz +2,2016-02-16
27,CBS News,581 LV,35,18,11,Trump +17,2016-02-16
28,USA Today/Suffolk,358 LV,35,20,7,Trump +15,2016-02-15
29,Quinnipiac,602 LV,39,18,6,Trump +20,2016-02-15
30,Quinnipiac,507 RV,31,22,3,Trump +9,2016-02-04
31,Rasmussen Reports,725 LV,31,20,6,Trump +10,2016-02-04
32,PPP (D),531 LV,25,21,5,Trump +4,2016-02-03
33,IBD/TIPP,395 RV,31,21,2,Trump +10,2016-01-27
34,CNN/ORC,405 RV,41,19,1,Trump +22,2016-01-24
35,ABC News/Wash Post,356 RV,37,21,2,Trump +16,2016-01-24
36,FOX News,405 LV,34,20,4,Trump +14,2016-01-21
37,Monmouth,385 RV,36,17,3,Trump +19,2016-01-18
38,NBC News/Wall St. Jrnl,400 LV,33,20,3,Trump +13,2016-01-13
39,CBS News/NY Times,442 LV,36,19,2,Trump +17,2016-01-10
40,IBD/TIPP,414 LV,34,18,2,Trump +16,2016-01-08
41,FOX News,423 RV,35,20,2,Trump +15,2016-01-07
42,CNN/ORC,438 RV,39,18,2,Trump +21,2015-12-21
43,Quinnipiac,508 RV,28,24,1,Trump +4,2015-12-20
44,FOX News,402 RV,39,18,2,Trump +21,2015-12-17
45,PPP (D),532 LV,34,18,2,Trump +16,2015-12-17
46,ABC News/Wash Post,1002 A,38,15,2,Trump +23,2015-12-13
47,Monmouth,385 RV,41,14,3,Trump +27,2015-12-13
48,NBC News/Wall St. Jrnl,400 LV,27,22,2,Trump +5,2015-12-09
49,CBS News/NY Times,431 LV,35,16,3,Trump +19,2015-12-08
50,USA Today/Suffolk,357 LV,27,17,2,Trump +10,2015-12-06
51,IBD/TIPP,394 RV,27,13,2,Trump +12,2015-12-04
52,CNN/ORC,445 RV,36,16,2,Trump +20,2015-12-01
53,Quinnipiac,672 RV,27,16,2,Trump +10,2015-11-30
54,FOX News,434 RV,28,14,2,Trump +10,2015-11-19
55,ABC News/Wash Post,373 RV,32,8,3,Trump +10,2015-11-19
56,PPP (D),607 RV,26,14,3,Trump +7,2015-11-17
57,Bloomberg,379 RV,24,9,3,Trump +4,2015-11-17
58,FOX News,,26,11,4,Trump +3,2015-11-03
59,McClatchy/Marist,426 RV,23,8,4,Carson +1,2015-11-04
60,Quinnipiac,502 RV,24,13,3,Trump +1,2015-11-02
61,NBC News/Wall St. Jrnl,400 LV,23,10,3,Carson +6,2015-10-29
62,IBD/TIPP,402 RV,28,6,1,Trump +5,2015-10-29
63,CBS News/NY Times,575 RV,22,4,4,Carson +4,2015-10-25
64,NBC News/Wall St. Jrnl,400 RV,25,9,3,Trump +3,2015-10-18
65,Monmouth,348 RV,28,10,1,Trump +10,2015-10-18
66,ABC News/Wash Post,RV,32,6,2,Trump +10,2015-10-18
67,CNN/ORC,465 RV,27,4,3,Trump +5,2015-10-17
68,FOX News,398 LV,24,10,1,Trump +1,2015-10-12
69,CBS News,419 RV,27,9,2,Trump +6,2015-10-08
70,PPP (D),627 RV,27,7,4,Trump +10,2015-10-04
71,IBD/TIPP,377 RV,17,6,4,Carson +7,2015-10-01
72,USA Today/Suffolk,380 LV,23,6,2,Trump +10,2015-09-28
73,Pew Research*,496 RV,25,6,1,Trump +9,2015-09-27
74,NBC News/Wall St. Jrnl,230 RV,21,5,6,Trump +1,2015-09-24
75,FOX News,398 LV,26,8,4,Trump +8,2015-09-22
76,Bloomberg,391 RV,21,5,4,Trump +5,2015-09-21
77,Quinnipiac,737 RV,25,7,2,Trump +8,2015-09-21
78,CNN/ORC,444 RV,24,6,2,Trump +9,2015-09-19
79,CBS News/NY Times,376 RV,27,5,3,Trump +4,2015-09-13
80,ABC News/Wash Post,821 RV,33,7,3,Trump +13,2015-09-10
81,CNN/ORC,474 RV,32,7,2,Trump +13,2015-09-08
82,Monmouth,366 RV,30,8,2,Trump +12,2015-09-02
83,PPP (D),527 RV,29,6,6,Trump +14,2015-08-30
84,Quinnipiac,666 RV,28,7,5,Trump +16,2015-08-25
85,CNN/ORC,466 RV,24,5,5,Trump +11,2015-08-16
86,FOX News,381 LV,25,10,4,Trump +13,2015-08-13
87,Rasmussen Reports,651 LV,17,7,4,Trump +7,2015-08-10
88,FOX News,475 LV,26,6,3,Trump +11,2015-08-02
89,Monmouth,423 RV,26,6,3,Trump +14,2015-08-02
90,Bloomberg,500 RV,21,4,4,Trump +11,2015-08-02
91,CBS News,408 RV,24,6,1,Trump +11,2015-08-02
92,NBC/WSJ,252 RV,19,9,3,Trump +4,2015-07-30
93,Quinnipiac,710 RV,20,5,5,Trump +7,2015-07-28
94,Rasmussen,471 LV,26,7,5,Trump +12,2015-07-27
95,CNN/ORC,419 RV,18,7,4,Trump +3,2015-07-25
96,PPP (D),524 RV,19,4,3,Trump +2,2015-07-21
97,ABC News/Wash Post,RV,24,4,2,Trump +11,2015-07-19
98,FOX News,389 RV,18,4,2,Trump +3,2015-07-15
99,USA Today/Suffolk,349 LV,17,6,1,Trump +3,2015-07-12
100,Monmouth,336 RV,13,9,1,Bush +2,2015-07-12
101,CNN/ORC,407 RV,12,3,2,Bush +7,2015-06-28
102,FOX News,378 RV,11,4,2,Bush +4,2015-06-23
103,NBC News/Wall St. Jrnl,236 RV,1,4,1,Bush +5,2015-06-18
104,Monmouth,351 RV,2,5,1,Carson +1,2015-06-14
105,FOX News,370 RV,4,8,2,Tie,2015-06-02
106,CNN/ORC,483 A,3,8,1,Rubio +1,2015-05-31
107,ABC News/Wash Post,362 RV,4,8,3,Tie,2015-05-31
108,Quinnipiac,679 RV,5,6,2,Tie,2015-05-26
109,FOX News,432 LV,4,6,2,Tie,2015-05-12
110,PPP (D),685 RV,,10,,Walker +5,2015-05-10
111,NBC News/Wall St. Jrnl,251 RV,,11,,Bush +5,2015-04-30
112,FOX News,383 LV,5,8,2,Rubio +1,2015-04-21
113,Quinnipiac,567 RV,,9,2,Rubio +2,2015-04-21
114,CNN/ORC,435 A,,7,2,Bush +5,2015-04-19
115,FOX News,379 LV,3,10,1,Walker +3,2015-03-31
116,ABC News/Wash Post,RV,,12,1,Bush +8,2015-03-29
117,PPP (D),443 RV,,16,,Walker +3,2015-03-31
118,CNN/ORC,450 A,,4,2,Bush +3,2015-03-15
119,McClatchy/Marist,426 RV,,4,,Bush +1,2015-03-04
120,Quinnipiac,554 RV,,6,1,Walker +2,2015-03-02
121,PPP (D),316 RV,,5,,Walker +7,2015-02-22
122,CNN/ORC,RV,,3,2,Huckabee +5,2015-02-15
123,FOX News,394 RV,,4,2,Bush +2,2015-01-27
124,CNN/ORC,453 A,,4,3,Bush +10,2014-12-21
125,ABC News/Wash Post,410 RV,,8,2,Bush +4,2014-12-14
126,McClatchy/Marist,360 RV,,5,3,Bush +4,2014-12-09
127,CNN/ORC,510 A,,7,3,Bush +3,2014-11-23
128,Quinnipiac,707 RV,,5,2,Bush +3,2014-11-23
129,Rasmussen,LV,,,,Walker +2,2014-11-21
130,ABC News/Wash Post,RV,,4,2,Bush +1,2014-10-12
131,McClatchy/Marist,376 RV,,4,,Bush +2,2014-09-29
132,McClatchy/Marist,342 RV,,10,,Tie,2014-08-04
133,FOX News,358 RV,,9,2,Tie,2014-07-22
