Poll,Date,Sample,MoE,Clinton,Sanders,Spread
RCP Average,5/13 - 6/5,--,--,52.8,41.4,Clinton +11.4
IBD/TIPP,5/31 - 6/5,351 RV,5.3,51,37,Clinton +14
Quinnipiac,5/24 - 5/30,678 RV,3.8,53,39,Clinton +14
ABC News/Wash Post,5/16 - 5/19,373 RV,--,56,42,Clinton +14
NBC News/Wall St. Jrnl,5/15 - 5/19,342 LV,5.3,53,45,Clinton +8
CBS News/NY Times,5/13 - 5/17,371 LV,6,51,44,Clinton +7
CNN/ORC,4/28 - 5/1,405 LV,5,51,43,Clinton +8
IBD/TIPP,4/22 - 4/28,355 RV,5.3,49,43,Clinton +6
USA Today/Suffolk,4/20 - 4/24,363 LV,5.1,50,45,Clinton +5
Pew Research,4/12 - 4/19,738 RV,--,54,42,Clinton +12
FOX News,4/11 - 4/13,450 RV,4.5,48,46,Clinton +2
NBC News/Wall St. Jrnl,4/10 - 4/14,339 LV,5.3,50,48,Clinton +2
CBS News,4/8 - 4/12,359 LV,6,50,44,Clinton +6
The Atlantic/PRRI,3/30 - 4/3,788 RV,--,46,47,Sanders +1
IBD/TIPP,3/28 - 4/2,388 RV,5.1,45,44,Clinton +1
McClatchy/Marist,3/29 - 3/31,497 RV,4.4,47,49,Sanders +2
Pew Research,3/17 - 3/27,842 RV,3.8,49,43,Clinton +6
PPP (D),3/24 - 3/26,505 LV,4.4,54,36,Clinton +18
FOX News,3/20 - 3/22,410 LV,5,55,42,Clinton +13
Bloomberg,3/19 - 3/22,311 LV,5.6,48,49,Sanders +1
CBS News/NY Times,3/17 - 3/20,388 LV,6,50,45,Clinton +5
CNN/ORC,3/17 - 3/20,397 RV,5,51,44,Clinton +7
Monmouth,3/17 - 3/20,391 RV,5,55,37,Clinton +18
Quinnipiac,3/16 - 3/21,635 RV,3.9,50,38,Clinton +12
NBC News/Wall St. Jrnl,3/3 - 3/6,410 LV,4.8,53,44,Clinton +9
ABC News/Wash Post,3/3 - 3/6,RV,5.5,49,42,Clinton +7
CNN/ORC,2/24 - 2/27,427 RV,5,55,38,Clinton +17
Rasmussen Reports,2/25 - 2/28,541 LV,4.5,53,31,Clinton +22
IBD/TIPP,2/19 - 2/24,334 RV,5.5,45,43,Clinton +2
FOX News,2/15 - 2/17,429 LV,4.5,44,47,Sanders +3
NBC News/Wall St. Jrnl,2/14 - 2/16,400 LV,4.9,53,42,Clinton +11
CBS News,2/12 - 2/16,549 LV,5,47,39,Clinton +8
USA Today/Suffolk,2/11 - 2/15,319 LV,5.5,50,40,Clinton +10
Quinnipiac,2/10 - 2/15,563 LV,4.1,44,42,Clinton +2
Quinnipiac,2/2 - 2/4,484 RV,4.5,44,42,Clinton +2
Rasmussen Reports,2/3 - 2/4,574 LV,4.5,50,32,Clinton +18
PPP (D),2/2 - 2/3,517 LV,4.3,53,32,Clinton +21
IBD/TIPP,1/22 - 1/27,349 RV,5.4,50,38,Clinton +12
CNN/ORC,1/21 - 1/24,440 RV,4.5,52,38,Clinton +14
ABC News/Wash Post,1/21 - 1/24,406 RV,5.5,55,36,Clinton +19
FOX News,1/18 - 1/21,375 LV,5,49,37,Clinton +12
Monmouth,1/15 - 1/18,352 RV,5.2,52,37,Clinton +15
NBC News/Wall St. Jrnl,1/9 - 1/13,400 LV,4.9,59,34,Clinton +25
CBS/NY Times,1/7 - 1/10,389 LV,6,48,41,Clinton +7
IBD/TIPP,1/4 - 1/8,378 LV,5.1,43,39,Clinton +4
FOX News,1/4 - 1/7,360 RV,5,54,39,Clinton +15
Rasmussen Reports,12/20 - 12/21,546 LV,4.5,46,30,Clinton +16
CNN/ORC,12/17 - 12/21,414 RV,5,50,34,Clinton +16
Quinnipiac,12/16 - 12/20,462 RV,4.6,61,30,Clinton +31
FOX News,12/16 - 12/17,390 RV,5,56,34,Clinton +22
PPP (D),12/16 - 12/17,525 LV,4.3,56,28,Clinton +28
ABC News/Wash Post,12/10 - 12/13,377 RV,5.5,59,28,Clinton +31
Monmouth,12/10 - 12/13,374 RV,5.1,59,26,Clinton +33
NBC/WSJ,12/6 - 12/9,400 LV,4.9,56,37,Clinton +19
CBS/NY Times,12/4 - 12/8,384 LV,6,52,32,Clinton +20
USA Today/Suffolk,12/2 - 12/6,363 LV,5.1,56,29,Clinton +27
IBD/TIPP,11/30 - 12/4,345 RV,5.4,51,33,Clinton +18
CNN/ORC,11/27 - 12/1,403 RV,5,58,30,Clinton +28
Quinnipiac,11/23 - 11/30,573 RV,4.1,60,30,Clinton +30
FOX News,11/16 - 11/19,366 RV,5,55,32,Clinton +23
ABC/Wash Post,11/16 - 11/19,352 RV,6,60,34,Clinton +26
PPP (D),11/16 - 11/17,538 RV,4.2,59,26,Clinton +33
Bloomberg,11/15 - 11/17,385 RV,5,55,30,Clinton +25
Rasmussen Reports,11/15 - 11/16,506 LV,4.5,50,29,Clinton +21
CBS News/NYT,11/6 - 11/10,418 RV,6,52,33,Clinton +19
FOX News,11/1 - 11/3,505 RV,4,56,31,Clinton +25
McClatchy/Marist,10/30 - 11/5,511 RV,4.3,57,35,Clinton +22
Quinnipiac,10/29 - 11/2,502 RV,4.4,53,35,Clinton +18
NBC/WSJ,10/25 - 10/29,400 LV,4.9,62,31,Clinton +31
IBD/TIPP,10/24 - 10/29,356 RV,5.3,48,33,Clinton +15
NBC News/Wall St. Jrnl,10/15 - 10/18,400 RV,4.9,49,29,Clinton +20
Monmouth,10/15 - 10/18,340 RV,5.3,48,21,Clinton +27
ABC News/Wash Post,10/15 - 10/18,444 RV,5.5,54,23,Clinton +31
CNN/ORC,10/14 - 10/17,291 RV,5,45,29,Clinton +16
FOX News,10/10 - 10/12,353 RV,5,45,25,Clinton +20
CBS News,10/4 - 10/8,343 RV,6,46,27,Clinton +19
PPP (D),10/1 - 10/4,551 RV,4.2,42,24,Clinton +18
IBD/TIPP,9/26 - 10/1,348 RV,--,42,18,Clinton +24
USA Today/Suffolk,9/24 - 9/28,430 LV,4.7,41,23,Clinton +18
Pew Research*,9/22 - 9/27,387 RV,--,45,24,Clinton +21
NBC News/Wall St. Jrnl,9/20 - 9/24,256 RV,6.5,42,35,Clinton +7
FOX News,9/20 - 9/22,381 LV,5,44,30,Clinton +14
Bloomberg,9/18 - 9/21,375 RV,5.1,33,24,Clinton +9
Quinnipiac,9/17 - 9/21,587 RV,4,43,25,Clinton +18
CNN/ORC,9/17 - 9/19,392 RV,5,42,24,Clinton +18
CBS News/NY Times,9/9 - 9/13,351 RV,6,47,27,Clinton +20
ABC News/Wash Post,9/7 - 9/10,RV,4,42,24,Clinton +18
CNN/ORC,9/4 - 9/8,395 RV,5,37,27,Clinton +10
Monmouth,8/31 - 9/2,339 RV,5.3,42,20,Clinton +22
PPP (D),8/28 - 8/30,545 LV,4.2,55,20,Clinton +35
Quinnipiac,8/20 - 8/25,647 RV,3.9,45,22,Clinton +23
Rasmussen Reports,8/23 - 8/24,536 LV,4,50,24,Clinton +26
CNN/ORC,8/13 - 8/16,358 RV,5,47,29,Clinton +18
FOX News,8/11 - 8/13,401 LV,4.5,49,30,Clinton +19
Monmouth,7/30 - 8/2,429 RV,4.7,52,16,Clinton +36
FOX News,7/30 - 8/2,499 LV,4,51,22,Clinton +29
CBS News,7/29 - 8/2,362 RV,5,58,17,Clinton +41
NBC News/Wall St. Jrnl,7/26 - 7/30,253 RV,6.2,59,25,Clinton +34
Quinnipiac,7/23 - 7/28,681 RV,3.8,55,17,Clinton +38
CNN/ORC,7/22 - 7/25,392 RV,5,56,19,Clinton +37
PPP (D),7/20 - 7/21,496 RV,4.4,57,22,Clinton +35
ABC News/Wash Post,7/16 - 7/19,RV,--,63,14,Clinton +49
FOX News,7/13 - 7/15,382 RV,5,59,19,Clinton +40
USA Today/Suffolk,7/9 - 7/12,434 LV,3,59,14,Clinton +45
Monmouth,7/9 - 7/12,357 RV,5.2,51,17,Clinton +34
CNN/ORC,6/26 - 6/28,428 RV,4.5,58,15,Clinton +43
FOX News,6/21 - 6/23,375 RV,4.5,61,15,Clinton +46
NBC News/Wall St. Jrnl,6/14 - 6/18,247 RV,6.2,75,15,Clinton +60
Monmouth,6/11 - 6/14,350 RV,5.2,57,12,Clinton +45
PPP (D),6/11 - 6/14,471 RV,4.5,65,9,Clinton +56
FOX News,5/31 - 6/2,395 RV,--,57,11,Clinton +46
CNN/ORC,5/29 - 5/31,433 A,4.5,60,10,Clinton +50
ABC News/Wash Post,5/28 - 5/31,376 RV,6,62,10,Clinton +52
Quinnipiac,5/19 - 5/26,748 RV,3.6,57,15,Clinton +42
FOX News,5/9 - 5/12,370 LV,--,63,6,Clinton +50
PPP (D),5/7 - 5/10,600 RV,4,63,13,Clinton +50
FOX News,4/19 - 4/21,388 LV,5,62,4,Clinton +50
Quinnipiac,4/16 - 4/21,569 RV,4.1,60,8,Clinton +52
CNN/ORC,4/16 - 4/19,458 A,4.5,69,5,Clinton +64
FOX News,3/29 - 3/31,397 LV,5,61,3,Clinton +50
PPP (D),3/26 - 3/31,449 RV,4.6,54,6,Clinton +40
ABC News/Wash Post,3/26 - 3/29,RV,6,66,5,Clinton +54
CNN/ORC,3/13 - 3/15,466 A,4.5,62,3,Clinton +52
McClatchy/Marist,3/1 - 3/4,462 RV,4.6,60,5,Clinton +48
Quinnipiac,2/26 - 3/2,493 RV,4.4,56,4,Clinton +42
PPP (D),2/20 - 2/22,310 RV,5.6,54,5,Clinton +42
CNN/ORC,2/12 - 2/15,RV,5,60,3,Clinton +48
FOX News,1/25 - 1/27,390 RV,5,55,3,Clinton +43
PPP (D),1/22 - 1/25,386 RV,5,60,2,Clinton +50
Rasmussen Reports,1/18 - 1/19,648 LV,4,59,4,Clinton +47
CNN/ORC,12/18 - 12/21,469 A,4.5,66,3,Clinton +57
ABC News/Wash Post,12/11 - 12/14,346 RV,6,61,4,Clinton +48
FOX News,12/7 - 12/9,409 RV,5,62,3,Clinton +50
